monitor/mean_contact_stability,monitor/num_episodes,monitor/grasp_rate,monitor/mean_reward,monitor/settle_rate,monitor/threshold_cross_rate,monitor/mean_episode_length,monitor/mean_best_goal_distance_xy,monitor/release_rate,monitor/near_success_rate,monitor/lifted_grasp_rate,monitor/mean_dual_contact_stability,monitor/transport_ready_rate,monitor/mean_goal_distance_xy,monitor/placement_rate,monitor/termination_time_limit,monitor/mean_max_lift_height,monitor/mean_best_success_streak,monitor/success_rate,monitor/over_goal_rate,validation/mean_best_goal_distance_xy,validation/mean_contact_stability,validation/transport_ready_rate,validation/settle_rate,validation/mean_max_lift_height,validation/mean_goal_distance_xy,validation/threshold_cross_rate,validation/release_rate,validation/near_success_rate,validation/mean_best_success_streak,validation/mean_reward,validation/grasp_rate,validation/mean_episode_length,validation/num_episodes,validation/mean_dual_contact_stability,validation/lifted_grasp_rate,validation/over_goal_rate,validation/success_rate,validation/placement_rate,validation/termination_time_limit,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,monitor/termination_dropped,validation/termination_dropped
0.0804,20,0.15,0.9285360072880107,0.0,0.0,250.0,0.3419157400458584,0.0,0.0,0.15,0.079,0.15,0.3455772927704154,0.0,20.0,0.03807436492738455,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.005650293547660112,17922,-15.638938903808594,0.05521620064973831,-14.517006874084473,,
,,,,,,,,,,,,,,,,,,,,0.33873050794885756,0.07292,0.14,0.0,0.037905990589609084,0.34830089692842797,0.0,0.0,0.0,0.0,0.8346517083345717,0.14,250.0,100,0.06908,0.14,0.0,0.0,0.0,100.0,,,,,,,,
0.3326,20,0.55,3.3297554818168864,0.0,0.0,250.0,0.34459338968657677,0.0,0.0,0.5,0.312,0.5,0.38373786677800215,0.0,20.0,0.05402919109185956,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.003473535180091858,20006,-13.992186546325684,0.07541728019714355,-10.476205825805664,,
,,,,,,,,,,,,,,,,,,,,0.34033391936865287,0.22788,0.31,0.0,0.04573537022698325,0.37697795503075365,0.0,0.0,0.0,0.0,1.7405467262886805,0.41,250.0,100,0.21112,0.31,0.0,0.0,0.0,100.0,,,,,,,,
0.7198,20,0.9,3.923568001776846,0.0,0.0,250.0,0.34459338968657677,0.0,0.0,0.9,0.6942,0.0,0.41114120645355895,0.0,20.0,0.05821252326002452,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.002355201868340373,22090,-12.567386627197266,0.19216221570968628,-4.7658843994140625,,
,,,,,,,,,,,,,,,,,,,,0.34033391936865287,0.5324,0.0,0.0,0.05183219595809963,0.40998519153309676,0.0,0.0,0.0,0.0,2.2842011926179966,0.81,250.0,100,0.50164,0.72,0.0,0.0,0.0,100.0,,,,,,,,
0.8872,20,1.0,3.697548729862249,0.0,0.0,250.0,0.3437754240326765,0.0,0.0,1.0,0.8796,0.0,0.38505538389670374,0.0,20.0,0.06458485550672376,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.001906733145006001,24174,-11.113617897033691,0.3781665563583374,-2.1734230518341064,,
,,,,,,,,,,,,,,,,,,,,0.33806617207603196,0.84044,0.05,0.0,0.0633777118550465,0.38608209801669113,0.0,0.0,0.0,0.0,2.8402140581330375,0.96,250.0,100,0.8288,0.96,0.0,0.0,0.0,100.0,,,,,,,,
0.4858,20,0.9,-2.5008943690859735,0.0,0.0,250.0,0.3445928977276383,0.0,0.0,0.35,0.3508,0.0,0.41721996036472675,0.0,20.0,0.040198388696497875,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.0019797657150775194,26258,-9.980690002441406,0.12177655100822449,0.06862694025039673,,
,,,,,,,,,,,,,,,,,,,,0.3400984000222927,0.38596,0.06,0.0,0.042031635626026784,0.4136790884552335,0.0,0.0,0.0,0.0,-2.377948304212191,0.7,250.0,100,0.3048,0.35,0.0,0.0,0.0,100.0,,,,,,,,
0.8603999999999999,20,0.7,-7.879537183193401,0.0,0.0,250.0,0.34370060957237736,0.0,0.0,0.0,0.6138,0.0,0.38735035944964763,0.0,20.0,0.031101732175113805,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.0021456200629472733,28342,-9.187825202941895,0.172376811504364,0.11181136965751648,,
,,,,,,,,,,,,,,,,,,,,0.33803477132011533,0.772,0.1,0.0,0.036071136553312795,0.3885197684233217,0.0,0.0,0.0,0.0,-6.647280888999215,0.7,250.0,100,0.5128,0.1,0.0,0.0,0.0,100.0,,,,,,,,
0.6474,20,0.45,-13.162061227929033,0.0,0.0,250.0,0.330452533464146,0.0,0.0,0.45,0.3878,0.45,0.4073878197967913,0.0,20.0,0.05808059384134473,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.002506073797121644,30426,-8.555258750915527,0.15838856995105743,2.774779796600342,,
,,,,,,,,,,,,,,,,,,,,0.33098910867379716,0.60092,0.33,0.0,0.05178992436782648,0.4034826811635162,0.0,0.0,0.0,0.0,-11.709569957068505,0.47,250.0,100,0.31628,0.34,0.0,0.0,0.0,100.0,,,,,,,,
0.199,20,0.15,-2.5309956621940928,0.0,0.0,250.0,0.3118766036542578,0.0,0.0,0.1,0.0954,0.1,0.34450620223254463,0.0,20.0,0.0443608919886186,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.003045271849259734,32510,-8.118132591247559,0.3465503454208374,2.0233943462371826,,
,,,,,,,,,,,,,,,,,,,,0.3076362293147215,0.22872,0.12,0.0,0.04658655776461494,0.34650931288566394,0.0,0.0,0.0,0.0,-3.4130529407666126,0.2,250.0,100,0.10611999999999999,0.13,0.07,0.0,0.0,100.0,,,,,,,,
0.8452,20,0.95,5.22653684144564,0.0,0.8,250.0,0.06626764708107971,0.0,0.0,0.85,0.7442,0.85,0.1316856484216959,0.8,20.0,0.11655330732013161,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,0.0003,0.003212577663362026,34594,-7.7141313552856445,0.19679060578346252,2.689922571182251,,
,,,,,,,,,,,,,,,,,,,,0.13446494061317155,0.74552,0.64,0.0,0.10117631517789344,0.19012603073745304,0.53,0.0,0.0,0.0,2.8861997225117233,0.87,250.0,100,0.58284,0.64,0.64,0.0,0.53,100.0,,,,,,,,
0.4848,20,0.65,0.372302032148153,0.0,0.1,250.0,0.22991805380816824,0.0,0.0,0.35,0.3384,0.35,0.2773323886114419,0.1,20.0,0.05889713190409463,0.0,0.0,0.35,,,,,,,,,,,,,,,,,,,,,0.0003,0.0037141095381230116,36678,-7.4788737297058105,0.16317042708396912,3.559870719909668,,
,,,,,,,,,,,,,,,,,,,,0.198378537633929,0.5633199999999999,0.46,0.0,0.07093472468319079,0.2411918284241902,0.06,0.0,0.0,0.0,1.7097935487403884,0.84,250.0,100,0.44488,0.46,0.32,0.0,0.06,100.0,,,,,,,,
0.4532,20,0.75,-1.6368812380103366,0.0,0.0,250.0,0.2870518002538784,0.0,0.0,0.2,0.21559999999999999,0.2,0.3421163076860977,0.0,20.0,0.04621410842600314,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.004390794783830643,38762,-7.692516803741455,0.12803874909877777,-0.22637657821178436,,
,,,,,,,,,,,,,,,,,,,,0.2838739432328347,0.47584,0.21,0.0,0.04928440161601608,0.34138136728441243,0.0,0.0,0.0,0.0,-1.7651880624072043,0.75,250.0,100,0.1976,0.21,0.0,0.0,0.0,100.0,,,,,,,,
0.7203999999999999,20,0.9,0.5410850739880361,0.0,0.25,250.0,0.11625306860813805,0.0,0.0,0.75,0.6594,0.75,0.15149678592059498,0.25,20.0,0.07305996564138884,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,0.0003,0.003910111263394356,40834,-7.246274948120117,0.2103065550327301,1.026511788368225,,
,,,,,,,,,,,,,,,,,,,,0.18117003008053065,0.5362,0.53,0.0,0.06266025766810994,0.21323090793953955,0.22,0.0,0.0,0.0,-0.7317589695811385,0.77,250.0,100,0.42464,0.54,0.22,0.0,0.22,100.0,,,,,,,,
